price,area,road_width,width,floors,parking_slots,bedrooms,type_Nhà trong ngõ,district_Quận Bắc Từ Liêm,district_Quận Cầu Giấy,district_Quận Hai Bà Trưng,district_Quận Hoàn Kiếm,district_Quận Hoàng Mai,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Nam Từ Liêm,district_Quận Thanh Xuân,district_Quận Tây Hồ,district_Quận Đống Đa
65.0,80.0,40.0,6.0,9.0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
20.0,60.0,30.0,4.5,6.0,3,8,0,0,1,0,0,0,0,0,0,0,0,0
11.2,47.0,4.0,4.0,6.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
14.3,53.0,7.0,4.0,5.0,2,6,0,0,1,0,0,0,0,0,0,0,0,0
42.0,61.0,30.0,5.0,7.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1
12.0,43.0,14.0,4.0,5.0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
10.0,50.0,6.0,6.0,4.0,2,4,0,0,0,0,0,0,0,0,0,0,1,0
10.1,57.0,4.0,4.2,5.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
8.8,36.0,6.0,3.5,6.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
12.6,56.0,5.0,4.8,6.0,3,6,0,0,1,0,0,0,0,0,0,0,0,0
8.3,58.0,10.0,4.0,4.0,2,4,0,1,0,0,0,0,0,0,0,0,0,0
8.6,68.0,8.0,5.1,3.0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
7.0,45.0,5.0,4.0,3.0,1,3,0,0,1,0,0,0,0,0,0,0,0,0
12.3,43.0,6.0,6.6,6.0,3,6,0,0,1,0,0,0,0,0,0,0,0,0
7.9,42.0,6.0,6.3,2.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
22.5,37.0,15.0,3.9,5.0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
14.5,33.0,20.0,5.0,6.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
18.3,305.0,20.0,5.0,2.0,4,4,0,0,0,0,0,0,0,0,0,0,1,0
44.2,64.0,20.0,4.0,5.0,3,4,0,0,0,0,1,0,0,0,0,0,0,0
25.0,53.0,30.0,5.5,5.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
1.49,62.0,20.0,4.5,6.0,3,6,0,0,1,0,0,0,0,0,0,0,0,0
55.0,500.0,20.0,11.0,5.0,4,11,0,0,0,0,0,0,0,1,0,0,0,0
11.0,75.0,6.0,5.0,6.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
44.2,64.0,20.0,4.0,5.0,3,4,0,0,0,0,1,0,0,0,0,0,0,0
55.0,108.0,50.0,6.6,8.0,4,8,0,0,0,0,0,0,0,1,0,0,0,0
20.5,75.0,15.0,4.0,5.0,3,6,0,0,0,0,0,1,0,0,0,0,0,0
25.0,53.0,30.0,5.5,5.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
14.5,33.0,20.0,5.0,6.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0
3.9,30.0,3.0,3.3,5.0,0,3,1,0,0,0,0,0,0,0,0,0,1,0
3.95,65.0,2.5,4.6,2.0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
10.7,56.0,10.0,5.5,6.0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
9.5,60.0,4.0,6.0,5.0,0,11,1,0,0,0,0,0,1,0,0,0,0,0
59.0,130.0,30.0,5.9,4.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1
32.5,65.0,30.0,5.5,5.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1
45.5,134.0,25.0,11.0,4.0,4,4,0,0,0,0,0,0,0,0,0,0,0,1
17.2,71.0,15.0,4.0,5.0,4,6,1,0,0,0,0,0,0,0,0,0,0,1
26.5,62.0,9.0,5.4,7.0,4,4,0,0,0,0,0,0,0,0,0,0,0,1
32.0,78.0,20.0,5.2,8.0,4,8,0,0,0,0,0,0,0,0,0,0,0,1
28.0,71.0,30.0,8.0,5.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
9.6,71.0,3.5,3.6,5.0,2,10,0,0,1,0,0,0,0,0,0,0,0,0
14.0,52.0,8.0,4.0,5.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
12.7,52.0,4.0,4.0,4.0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
7.9,40.0,4.0,3.6,6.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
7.9,40.0,4.0,3.6,6.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
6.0,55.0,6.0,4.5,3.0,2,4,0,0,0,0,0,0,0,0,0,0,1,0
5.0,49.0,4.0,4.0,4.0,1,4,0,1,0,0,0,0,0,0,0,0,0,0
12.5,80.0,6.0,5.0,2.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
6.68,126.0,20.0,5.0,5.0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
55.0,91.0,30.0,9.0,9.0,4,8,0,0,0,0,0,0,0,0,0,1,0,0
49.5,105.0,30.0,7.0,6.0,4,8,0,0,0,1,0,0,0,0,0,0,0,0
20.5,75.0,15.0,4.0,5.0,3,6,0,0,0,0,0,1,0,0,0,0,0,0
17.0,140.0,20.0,8.0,1.0,4,3,0,0,0,0,0,1,0,0,0,0,0,0
1.49,62.0,20.0,4.5,6.0,3,6,0,0,1,0,0,0,0,0,0,0,0,0
55.0,500.0,20.0,11.0,5.0,4,11,0,0,0,0,0,0,0,1,0,0,0,0
